,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
128,-999,0.88817562683,0,0.0,-1.0,11.9045948119,768,23.644053921,-999.0,23.2608087472,21.8795417216,st82-1hr
129,3,0.873668787673,0,9.6927442389,0.439857978181,11.9091442042,2032,23.2042995184,0.88655,22.5394977961,21.485317195,st82-1hr
130,-999,0.83383782924,0,0.0,-1.0,11.9200432385,4,21.6377568897,-999.0,20.360049504,19.4102114917,st82-1hr
131,3,0.785788358624,0,11.7189823019,0.673165248078,11.93115863,1008,23.5628201136,1.0777,23.1121609789,22.0508405802,st82-1hr
132,3,0.831798148598,0,11.0612453723,0.725512871947,11.9281374826,2032,23.5081328506,1.07235,23.3729151865,22.395725266,st82-1hr
133,3,0.84837029519,0,7.40361159383,0.533850495972,11.9286252732,2032,23.3153656258,1.0842,23.0185459477,21.9006211795,st82-1hr
134,-999,0.883568857726,0,0.0,-1.0,11.9260629044,1872,23.4088894472,-999.0,22.9144049919,21.5729851152,st82-1hr
135,3,0.768155128867,0,25.0703354925,0.298805396547,11.9484722233,2032,22.9082725026,1.1995,22.6410512072,22.0186697002,st82-1hr
136,-999,-999.0,1,0.0,-1.0,-999.0,-999,,-999.0,,,st82-3hr
137,3,0.246164667455,1,22.5551536608,0.647765926981,39.2997089514,1536,22.7337680029,1.3036,22.6862857509,22.3356459285,st82-3hr
138,3,0.244691447646,1,7.42923047321,0.645484568388,39.3018510982,208,23.0327029078,0.7527,22.2843257565,21.0649281124,st82-3hr
139,3,0.239654003807,1,5.99584286924,0.5081765997,39.3004924524,96,23.6307990679,0.88375,23.2691188285,22.6721168214,st82-3hr
140,-999,0.245378252586,1,0.0,-1.0,39.313143439,208,22.8397575321,-999.0,22.7430576208,21.7137698925,st82-3hr
141,3,0.238593188626,1,8.36351755031,0.468988939763,39.3066206521,2032,23.0133404269,0.8847,22.326270481,21.2490498604,st82-3hr
142,-999,0.240664097553,1,0.0,-1.0,39.3135946281,1792,23.0086468952,-999.0,22.1520055317,20.8200506496,st82-3hr
143,3,0.205888961185,1,12.5047751309,0.701002664334,39.2652528444,1808,23.2247087076,0.9644,22.5779749456,21.2319003316,st82-3hr
144,-999,0.237035195924,1,0.0,-1.0,39.3179932297,2176,23.6220603444,-999.0,23.4546899402,23.0777422321,st82-3hr
145,-999,0.223230242151,1,0.0,-1.0,39.3007941819,1808,23.2728711531,-999.0,22.4894072721,21.4094023285,st82-3hr
146,-999,0.212885795879,1,0.0,-1.0,39.2995906452,4,21.8366429959,-999.0,19.9632048631,18.9933073378,st82-3hr
147,-999,0.233100753132,1,0.0,-1.0,39.3414875496,48,23.1107888037,-999.0,22.5065446971,21.7486512742,st82-3hr
148,3,0.244122878393,1,8.13965995481,0.243231007876,39.3734701009,112,23.7887039379,1.26315,23.5681618887,22.4419233772,st82-3hr
149,-999,0.239160933121,1,0.0,-1.0,39.3693845257,2032,23.428224715,-999.0,23.1910945628,22.3233830285,st82-3hr
150,3,0.218366187791,1,10.1865964113,0.23955821358,39.3410582552,112,23.7376882443,0.88895,23.2387748542,22.3200636165,st82-3hr
151,3,0.244727732688,1,11.9148860684,0.289648167271,39.385123672,2032,22.6030149404,1.29515,21.9972777508,20.7527000774,st82-3hr
152,3,0.209539567335,1,10.8376768768,0.250171213759,39.3376013058,2032,23.4993289289,0.9561,23.248439051,22.2290842738,st82-3hr
153,3,0.166779255586,1,0.0,-1.0,39.2906178043,192,23.3752935072,0.1152,23.2093774361,22.7920127732,st82-3hr
154,3,0.190565731363,1,14.1466372461,0.314943499511,39.3352970478,32,23.7701906828,0.91875,23.2582130055,22.3493589496,st82-3hr
155,3,0.203882433916,1,0.0,-1.0,39.3600063721,1008,23.5929393968,0.35005,23.1967672824,22.097703902,st82-3hr
156,3,0.228338595656,1,15.0185369584,0.280827146239,39.4020191473,1008,23.627549151,0.9151,23.054622478,21.9625957397,st82-3hr
157,-999,0.206054925879,1,0.0,-1.0,39.3717396452,4,22.5206422515,-999.0,20.5134965425,19.2203746472,st82-3hr
158,3,0.189661302282,1,17.9638656767,0.78012584933,39.3564750992,2032,23.4436851691,1.29415,23.0096857011,22.1455558497,st82-3hr
159,3,0.212106263508,1,17.8698881782,0.274093010101,39.395213636,2032,23.3627707601,0.89935,22.9714438478,21.8429058466,st82-3hr
160,1,0.212947389904,1,6.66922229261,0.313069239318,39.4003813935,1872,22.9252659545,1.08085,22.2348712107,20.9147831368,st82-3hr
161,-999,0.150540474319,1,0.0,-1.0,39.3102883077,2032,23.0584066929,-999.0,22.5313582389,21.2412549806,st82-3hr
162,3,0.207049604627,1,12.356878618,0.267219091595,39.4023424542,2000,23.333496729,0.89785,23.2980349592,22.3546233246,st82-3hr
163,3,0.171394776011,1,7.10545983718,0.175574742487,39.3557812251,96,23.8525521736,1.4515,23.6531465505,22.7558543414,st82-3hr
164,3,0.203458955321,1,14.6383930382,0.292266390002,39.4098243644,1008,23.6202535978,1.0923,23.4841363371,22.7896677382,st82-3hr
165,-999,0.179289686039,1,0.0,-1.0,39.377691988,48,23.2139135104,-999.0,22.7262274396,22.0938517948,st82-3hr
166,-999,0.137331855332,1,0.0,-1.0,39.3194856721,2032,22.4230146138,-999.0,21.8606920887,20.7408877524,st82-3hr
167,3,0.149603669562,1,9.15028172036,0.511809089061,39.342165573,96,23.8534617878,1.15785,23.5500512576,22.492243345,st82-3hr
168,-999,0.190779075686,1,0.0,-1.0,39.4090197507,2,20.5344300021,-999.0,20.1183140637,20.2289939977,st82-3hr
169,3,0.164683911833,1,12.3395303868,0.249733993404,39.3795399446,2032,23.3623770924,1.15625,23.0411313883,22.1377338648,st82-3hr
170,3,0.135599620539,1,9.10868519147,0.315994894496,39.3434129739,112,23.7893088334,0.95475,23.4474174213,22.4551727818,st82-3hr
171,-999,0.189960629845,1,0.0,-1.0,39.4310637812,1008,23.5561274091,-999.0,23.2039860995,22.3891243436,st82-3hr
172,3,0.166216126679,1,10.0019802539,0.644973498592,39.4020392453,2048,23.5916035862,0.76425,22.7150858366,21.6508345277,st82-3hr
173,-999,0.130496968434,1,0.0,-1.0,39.3507061604,1808,23.4622750023,-999.0,22.7538231113,21.5545606448,st82-3hr
174,3,0.156828385688,1,9.68262993273,0.702020410862,39.4010584706,112,23.7317520912,1.0822,23.3633111128,22.562158899,st82-3hr
175,-999,0.120163997721,1,0.0,-1.0,39.3494675953,1776,23.5200620326,-999.0,23.2657811723,22.6143591692,st82-3hr
176,3,0.131083456238,1,25.0379365686,0.662739091186,39.3715987976,1536,23.0908216744,1.15685,23.1278134509,22.7343462862,st82-3hr
177,-999,0.110016543124,1,0.0,-1.0,39.3455333569,1776,22.31742417,-999.0,21.9694641354,21.2369796819,st82-3hr
178,-999,0.111183394011,1,0.0,-1.0,39.3570797039,1008,23.5804402248,-999.0,23.2697991252,22.328624891,st82-3hr
179,-999,0.159029355879,1,0.0,-1.0,39.4368086452,4,21.7300504573,-999.0,20.3060057988,19.2100156732,st82-3hr
180,3,0.121063211345,1,20.3950110083,0.286822071978,39.3821578504,2032,22.9522676253,0.91315,22.4513276957,21.5959762481,st82-3hr
181,3,0.0998253090139,1,7.53993583637,0.229125731944,39.3632843997,2032,23.1516352867,1.03725,22.7370567504,21.6801504887,st82-3hr
182,-999,0.12011667712,1,0.0,-1.0,39.4021315318,1792,23.0509645937,-999.0,22.356999705,20.8523058093,st82-3hr
183,-999,0.0979335045433,1,0.0,-1.0,39.3742906467,2,19.1640719433,-999.0,18.8448243821,18.7335687169,st82-3hr
184,-999,0.101818242903,1,0.0,-1.0,39.3851523285,976,23.5821914227,-999.0,23.2764525012,22.0216055152,st82-3hr
185,3,0.0848311005601,1,13.3175771599,0.492003482607,39.3653713891,128,23.7720880152,0.8838,23.7653540256,23.4488873718,st82-3hr
186,3,0.124581992695,1,6.37280193259,0.258607241646,39.4306633894,16,23.6552702354,0.9105,23.0522846881,22.0488974363,st82-3hr
187,3,0.0712340364596,1,7.47751640633,0.257346673252,39.3538387137,768,23.6279770344,1.06175,22.6030390625,21.195580497,st82-3hr
188,3,0.130417199797,1,15.4763147466,0.292028050866,39.4496324567,2032,23.1788755287,0.9561,22.7277217745,21.7653523709,st82-3hr
189,-999,0.125817701386,1,0.0,-1.0,39.4482398642,240,23.4588491397,-999.0,23.1181910809,22.5605290198,st82-3hr
190,3,0.103509956814,1,14.0637491517,0.602434676295,39.418531841,2000,23.1241648177,0.99775,22.9198513774,21.7517558819,st82-3hr
